collection,location,file_url
Gemeente,Amsterdam,
Gemeente,Rotterdam,
Gemeente,s-Gravenhage,
Gemeente,Utrecht,
Gemeente,Eindhoven,
Gemeente,Tilburg,
Gemeente,Groningen,
Gemeente,Almere,
Gemeente,Breda,
Gemeente,Nijmegen,
Gemeente,Apeldoorn,
Gemeente,Haarlem,
Gemeente,Enschede,
Gemeente,Arnhem,
Gemeente,Amersfoort,
Gemeente,Zaanstad,
Gemeente,s-Hertogenbosch,
Gemeente,Haarlemmermeer,
Gemeente,Zwolle,
Gemeente,Zoetermeer,
Gemeente,Leiden,
Gemeente,Maastricht,
Gemeente,Dordrecht,
Gemeente,Ede,
Gemeente,Alphen Aan Den Rijn,https://www.alphenaandenrijn.nl/Inwoners_en_bedrijven/Inhoud_homepage_Inwoners_en_bedrijven/Coronavirus
Gemeente,Leeuwarden,https://www.leeuwarden.nl/nl/coronavirus-covid-19
Gemeente,Alkmaar,https://www.alkmaar.nl/coronavirus/
Gemeente,Emmen,https://gemeente.emmen.nl/coronavirus
Gemeente,Westland,https://www.gemeentewestland.nl/coronavirus.html
Gemeente,Delft,
Gemeente,Venlo,https://www.venlo.nl/informatie-coronavirus
Gemeente,Deventer,https://coronavirus.deventer.nl/
Gemeente,Sittard-Geleen,https://www.sittard-geleen.nl/Inwoners/Actueel/Coronavirus
Gemeente,Helmond,https://www.helmond.nl/Coronavirus
Gemeente,Oss,
Gemeente,Amstelveen,
Gemeente,Hilversum,https://www.hilversum.nl/Home/Inwoner/Nieuws/Nieuwsitems/Corona_in_Hilversum
Gemeente,Heerlen,https://www.heerlen.nl/corona.html
Gemeente,Nissewaard,https://www.nissewaard.nl/coronavirus-1.htm
Gemeente,Súdwest-Fryslân,https://sudwestfryslan.nl/nieuws/informatie-coronavirus/
Gemeente,Hengelo,https://www.hengelo.nl/Welkom-in-Hengelo/Beheer/Overige-pagina-s/Informatie-over-het-Coronavirus.html
Gemeente,Purmerend,
Gemeente,Meierijstad,https://www.meierijstad.nl/home/coronavirus-covid-19_43523/
Gemeente,Schiedam,https://www.schiedam.nl/a-tot-z/coronavirus
Gemeente,Roosendaal,https://roosendaal.nl/informatie-over-corona
Gemeente,Lelystad,https://www.lelystad.nl/coronavirus
Gemeente,Leidschendam-Voorburg,https://www.lv.nl/alles-over-coronavirus
Gemeente,Hoorn,https://www.hoorn.nl/coronavirus
Gemeente,Almelo,https://www.almelo.nl/informatie-corona
Gemeente,Vlaardingen,
Gemeente,Gouda,https://www.gouda.nl/Bestuur_en_organisatie/Publicaties_en_besluiten/Nieuwsberichten/Coronavirus
Gemeente,Velsen,https://www.velsen.nl/corona
Gemeente,Assen,https://www.assen.nl/coronavirus
Gemeente,Capelle Aan Den Ijssel,https://www.capelleaandenijssel.nl/over-capelle/coronavirus_43151/
Gemeente,Bergen Op Zoom,https://www.bergenopzoom.nl/coronavirus
Gemeente,Katwijk,https://www.katwijk.nl/gemeente-en-burgerzaken/faq-coronavirus
Gemeente,Stichtse Vecht,https://stichtsevecht.nl/coronavirus/
Gemeente,Veenendaal,https://www.veenendaal.nl/info-over-de-gemeente/informatie-over-coronavirus
Gemeente,Zeist,https://www.zeist.nl/inwoner/uitgelicht/coronavirus/
Gemeente,Nieuwegein,https://www.nieuwegein.nl/coronavirus
