collection,location,file_url
Gemeente,Amsterdam,https://www.amsterdam.nl/nieuws/
Gemeente,Rotterdam,https://www.rotterdam.nl/nieuws/
Gemeente,s-Gravenhage,https://www.denhaag.nl/nl/in-de-stad/nieuws.htm
Gemeente,Utrecht,https://www.utrecht.nl/nieuws/
Gemeente,Eindhoven,https://www.eindhoven.nl/nieuws
Gemeente,Tilburg,https://www.tilburg.nl/actueel/
Gemeente,Groningen,https://gemeente.groningen.nl/actueel/nieuws
Gemeente,Almere,https://www.almere.nl/over-almere/actueel/
Gemeente,Breda,https://www.breda.nl/nieuwsberichten
Gemeente,Nijmegen,https://www.nijmegen.nl/nieuws/
Gemeente,Apeldoorn,https://www.apeldoorn.nl/nieuws
Gemeente,Haarlem,https://www.haarlem.nl/nieuws-en-actualiteiten/
Gemeente,Enschede,https://www.enschede.nl/nieuws
Gemeente,Arnhem,https://www.arnhem.nl/actueel/alle_nieuwsberichten
Gemeente,Amersfoort,https://www.amersfoort.nl/nieuws.htm
Gemeente,Zaanstad,https://www.zaanstad.nl/mozard/!suite05.scherm1069?mNwc=1
Gemeente,s-Hertogenbosch,https://www.s-hertogenbosch.nl/actueel/nieuws.html
Gemeente,Haarlemmermeer,https://haarlemmermeergemeente.nl/nieuwsoverzicht
Gemeente,Zwolle,https://www.zwolle.nl/nieuws
Gemeente,Zoetermeer,https://www.zoetermeer.nl/inwoners/nieuws_45887/
Gemeente,Leiden,https://gemeente.leiden.nl/nieuws/
Gemeente,Maastricht,https://www.gemeentemaastricht.nl/stad/actueel
Gemeente,Dordrecht,https://cms.dordrecht.nl/Inwoners/Overzicht_Inwoners/Informatie_coronavirus
Gemeente,Ede,https://www.ede.nl/nieuws
Gemeente,Alphen Aan Den Rijn,https://www.allesinalphen.nl/gemeentenieuws.html
Gemeente,Leeuwarden,https://www.leeuwarden.nl/nl/actueel
Gemeente,Alkmaar,https://www.alkmaar.nl/actueel
Gemeente,Emmen,https://gemeente.emmen.nl/nieuws
Gemeente,Westland,https://www.gemeentewestland.nl/actueel/nieuws.html
Gemeente,Delft,https://www.delft.nl/nieuws
Gemeente,Venlo,https://www.venloonline.nl/
Gemeente,Deventer,https://www.deventer.nl/nieuws
Gemeente,Sittard-Geleen,https://www.sittard-geleen.nl/Inwoners/Actueel/Nieuws_en_persberichten
Gemeente,Helmond,https://www.helmond.nl/nieuws
Gemeente,Oss,https://www.oss.nl/inwoners/actueel/nieuwsberichten.htm
Gemeente,Amstelveen,https://www.amstelveen.nl/home/publicatie/nieuws
Gemeente,Hilversum,https://www.hilversum.nl/Home/Inwoner/Nieuws/Nieuwsitems
Gemeente,Heerlen,https://www.heerlen.nl/actueel/nieuwsoverzicht.html
