collection,location,file_url
Gemeente,Amsterdam,https://www.amsterdam.nl/coronavirus
Gemeente,Rotterdam,https://www.rotterdam.nl/wonen-leven/coronanieuws/
Gemeente,s-Gravenhage,https://www.denhaag.nl/nl/bestuur-en-organisatie/coronavirus-1.htm
Gemeente,Utrecht,https://www.utrecht.nl/bestuur-en-organisatie/coronavirus/
Gemeente,Eindhoven,https://www.eindhoven.nl/stad-en-wonen/stad/informatie-over-coronavirus
Gemeente,Tilburg,https://www.tilburg.nl/actueel/crisis/
Gemeente,Groningen,https://gemeente.groningen.nl/coronavirus
Gemeente,Almere,https://www.almere.nl/nc/wonen/zorg-en-welzijn/maatregelen-in-almere-tegen-coronavirus/
Gemeente,Breda,https://www.breda.nl/coronavirus
Gemeente,Nijmegen,https://www.nijmegen.nl/nieuws/nieuwsdossiers/dossier-coronavirus-covid-19/
Gemeente,Apeldoorn,https://www.apeldoorn.nl/coronanieuws
Gemeente,Haarlem,https://www.haarlem.nl/corona-nieuws-overzicht/
Gemeente,Enschede,https://www.enschede.nl/nieuws/actuele-informatie-over-coronavirus
Gemeente,Arnhem,https://www.arnhem.nl/actueel/alle_nieuwsberichten/Informatie_over_het_Coronavirus
Gemeente,Amersfoort,https://www.amersfoort.nl/zorg-en-ondersteuning/to-2/actuele-informatie-corona.htm
Gemeente,Zaanstad,https://www.zaanstad.nl/mozard/!suite86.scherm0325?mPag=1731&mLok=1
Gemeente,s-Hertogenbosch,https://www.s-hertogenbosch.nl/corona.html
Gemeente,Haarlemmermeer,https://haarlemmermeergemeente.nl/taak/corona
Gemeente,Zwolle,https://www.zwolle.nl/nieuws-over-coronavirus
Gemeente,Zoetermeer,https://www.zoetermeer.nl/inwoners/coronavirus-in-zoetermeer_48552?pk_campaign=Redirects&pk_kwd=corona
Gemeente,Leiden,https://gemeente.leiden.nl/veelgestelde-vragen-en-nieuws-over-het-coronavirus/
Gemeente,Maastricht,https://www.gemeentemaastricht.nl/stad/steunpunt-corona
Gemeente,Dordrecht,https://cms.dordrecht.nl/Inwoners/Overzicht_Inwoners/Nieuws/Nieuws
Gemeente,Ede,https://www.ede.nl/corona-nieuws
Gemeente,Alphen Aan Den Rijn,https://www.alphenaandenrijn.nl/Inwoners_en_bedrijven/Inhoud_homepage_Inwoners_en_bedrijven/Coronavirus/Nieuws_updates_maatregelen_Alphen_aan_den_Rijn
Gemeente,Leeuwarden,
Gemeente,Alkmaar,https://www.alkmaar.nl/actueel/15662/coronavirus-in-noord-holland-noord/
Gemeente,Emmen,https://gemeente.emmen.nl/informatie-coronavirus/nieuws-coronavirus
Gemeente,Westland,https://www.gemeentewestland.nl/coronavirus/nieuws.html
Gemeente,Delft,https://www.delft.nl/nieuws-over-coronavirus
Gemeente,Venlo,https://www.venloonline.nl/nieuws/tag/coronavirus
Gemeente,Deventer,https://coronavirus.deventer.nl/updates
Gemeente,Sittard-Geleen,https://www.sittard-geleen.nl/Inwoners/Actueel/Coronavirus
Gemeente,Helmond,https://www.helmond.nl/coronavirus-nieuws-gemeente-helmond
Gemeente,Oss,https://www.oss.nl/inwoners/actueel/Coronavirus-1.htm
Gemeente,Amstelveen,https://www.amstelveen.nl/home/nieuws/informatie-coronavirus
Gemeente,Hilversum,https://www.hilversum.nl/Home/Inwoner/Nieuws/Nieuwsitems/Corona
Gemeente,Heerlen,
Gemeente,Nissewaard,
Gemeente,Súdwest-Fryslân,
Gemeente,Hengelo,
Gemeente,Purmerend,https://www.purmerend.nl/actuele-informatie-over-het-coronavirus-purmerend
Gemeente,Meierijstad,
Gemeente,Schiedam,https://www.schiedam.nl/a-tot-z/laatste-nieuws
Gemeente,Roosendaal,https://roosendaal.nl/laatste-nieuws
Gemeente,Lelystad,https://www.lelystad.nl/4/coronavirus/Nieuwsoverzicht-coronavirus.html
Gemeente,Leidschendam-Voorburg,https://www.lv.nl/nieuws-over-coronavirus
Gemeente,Hoorn,
Gemeente,Almelo,
Gemeente,Vlaardingen,https://www.vlaardingen.nl/Organisatie/Nieuws_en_actualiteiten/Nieuws/Coronavirus_in_Vlaardingen
Gemeente,Gouda,https://www.gouda.nl/Bestuur_en_organisatie/Publicaties_en_besluiten/Nieuwsberichten/Coronavirus/Informatie_coronavirus/Nieuwsberichten_coronavirus
Gemeente,Velsen,https://www.velsen.nl/corona/nieuwsarchief
Gemeente,Assen,https://www.assen.nl/nieuwsoverzicht-corona
Gemeente,Capelle Aan Den Ijssel,
Gemeente,Bergen Op Zoom,https://www.bergenopzoom.nl/laatste-nieuws-coronavirus
Gemeente,Katwijk,
Gemeente,Stichtse Vecht,https://stichtsevecht.nl/onderwerp/4696/coronavirus/
Gemeente,Veenendaal,https://www.veenendaal.nl/info-over-de-gemeente/informatie-over-coronavirus/actuele-berichten-over-coronavirus
Gemeente,Zeist,https://www.zeist.nl/inwoner/uitgelicht/coronavirus/nieuws-coronavirus/
Gemeente,Nieuwegein,
Gemeente,Hardenberg,
Gemeente,Lansingerland,
Gemeente,Roermond,https://www.roermond.nl/nieuws/coronaupdates
Gemeente,Doetinchem,
Gemeente,Gooise Meren,https://gooisemeren.nl/informatie-corona/nieuwsberichten-corona/
Gemeente,Barneveld,
Gemeente,Den Helder,
Gemeente,Smallingerland,
Gemeente,Hoogeveen,https://www.hoogeveen.nl/dossiers/informatie-coronavirus/nieuwsoverzicht
Gemeente,Krimpenerwaard,https://www.krimpenerwaard.nl/coronavirus-gemeente-krimpenerwaard
Gemeente,Heerhugowaard,
Gemeente,Oosterhout,https://oosterhout.nl/inwoners/coronavirus/coronanieuws-inwoners/
Gemeente,Terneuzen,https://www.terneuzen.nl/Onze_Organisatie/Actueel/Nieuws/Nieuwsberichten_Coronavirus
Gemeente,Kampen,
Gemeente,De Fryske Marren,
Gemeente,Woerden,https://www.woerden.nl/inwoners/liveblog-coronavirus-woerden
Gemeente,Rijswijk,
Gemeente,Heerenveen,
Gemeente,Weert,
Gemeente,Houten,
Gemeente,Utrechtse Heuvelrug,
Gemeente,Barendrecht,
Gemeente,Middelburg (Z.),
